,temperature,light_intensity,light_dark_ratio,reactor_type,fermentation_mode,open_close_system,reactor_volume,reaction_volume,initial_OD,special_growth,no3_conc,phosphate_conc,co2_perc,air_bubbling,bubbling_speed (ml/min),hco3_conc,nacl_conc,medium_pH,substrate2,substrate2_conc(mg/L),substrate2_enthalpyFormation,genetic_wt,promoterInducer,inducerConc,genetic_mutation,genetic_heterologousInsertion,genetic_precursor,genetic_enzymaticSteps,productExporter,cofactorEnhance,pathwayOptimized,product,product permeability,numberC,numberH,numberN,numberO,product_enthalpyFormation,OD,growth_rate,product_titer,production_rate,paper,cultivation_time,species,ko genes,ox genes,genetic_knockoutSteps,genetic_heterologousSteps,OE_nativeSteps
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5743,0.007646213,na,0.233333333,1,96,utex2973,NA,slr1367,0,2,0
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.7579,0.007646213,28,0.233333333,1,120,utex2973,NA,slr1367,0,2,0
IS1367,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.933,0.007646213,na,0.233333333,1,144,utex2973,NA,slr1367,0,2,0
isatz,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1895,0.0065399,na,0.2375,1,24,utex2973,NA,"ino1,suhb,zwf",0,2,1
isatz,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2872,0.0065399,na,0.2375,1,48,utex2973,NA,"ino1,suhb,zwf",0,2,1
isatz,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3789,0.0065399,na,0.2375,1,72,utex2973,NA,"ino1,suhb,zwf",0,2,1
isatz,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5359,0.0065399,na,0.2375,1,96,utex2973,NA,"ino1,suhb,zwf",0,2,1
isatz,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6507,0.0065399,28.5,0.2375,1,120,utex2973,NA,"ino1,suhb,zwf",0,2,1
ISABecoC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.1768,0.006613766,na,0.263888889,1,24,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABecoC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.006613766,na,0.263888889,1,48,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABecoC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.4665,0.006613766,na,0.263888889,1,72,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABecoC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.5548,0.006613766,na,0.263888889,1,96,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABecoC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.683,0.006613766,38,0.263888889,1,120,utex2973,NA,"ino1,suhb,pntab",0,2,1
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2176,0.00785369,na,0.270833333,1,24,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4061,0.00785369,na,0.270833333,1,48,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5743,0.00785369,na,0.270833333,1,72,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.7071,0.00785369,na,0.270833333,1,96,utex2973,NA,"ino1,suhb",0,2,0
IS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.8706,0.00785369,32.5,0.270833333,1,120,utex2973,NA,"ino1,suhb",0,2,0
L524-SC,37,714,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,4-OneSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,6.25,0.216666667,5,0.270833333,3,24,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,714,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7.5,0.216666667,11.5,0.270833333,3,48,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7.5,0.216666667,17.5,0.270833333,3,72,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7,0.216666667,23.5,0.270833333,3,96,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7,0.216666667,28,0.270833333,3,120,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,6.8,0.216666667,32,0.270833333,3,144,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,6.6,0.216666667,35,0.270833333,3,168,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7.5,0.216666667,38.5,0.270833333,3,192,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7.5,0.216666667,43,0.270833333,3,216,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7.2,0.216666667,47,0.270833333,3,240,utex2973,NA,limonene synthase,0,1,0
L524-SC,37,574,0,2-cylindricalPBR,3-semi-continuous,1-open,1000,500,2.3,5-TwoSideLight,247.1,5.43,5,1,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,gpp,1,na,na,0,limonene,e,10,16,0,0,-93.3,7,0.216666667,50,0.270833333,3,240,utex2973,NA,limonene synthase,0,1,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,13,0.270833333,16,48,utex2973,NA,"lims,gpps,dxs,idi",na,2,2
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.8706,0.006836628,71,0.291666667,1,144,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyuC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.1768,0.006613766,na,0.298611111,1,24,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyuC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.006613766,na,0.298611111,1,48,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyuC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.4665,0.006613766,na,0.298611111,1,72,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyuC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.5548,0.006613766,na,0.298611111,1,96,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyuC,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.683,0.006613766,43,0.298611111,1,120,utex2973,NA,"ino1,suhb,pntab",0,2,1
isaty,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1768,0.00540937,na,0.320833333,1,24,utex2973,NA,"ino1,suhb,yead",0,2,1
isaty,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2679,0.00540937,na,0.320833333,1,48,utex2973,NA,"ino1,suhb,yead",0,2,1
isaty,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3978,0.00540937,na,0.320833333,1,72,utex2973,NA,"ino1,suhb,yead",0,2,1
isaty,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5176,0.00540937,na,0.320833333,1,96,utex2973,NA,"ino1,suhb,yead",0,2,1
isaty,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6373,0.00540937,38.5,0.320833333,1,120,utex2973,NA,"ino1,suhb,yead",0,2,1
isatf,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1895,0.005553067,na,0.333333333,1,24,utex2973,NA,"ino1,suhb,fba",0,2,1
isatf,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2872,0.005553067,na,0.333333333,1,48,utex2973,NA,"ino1,suhb,fba",0,2,1
isatf,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4204,0.005553067,na,0.333333333,1,72,utex2973,NA,"ino1,suhb,fba",0,2,1
isatf,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5359,0.005553067,na,0.333333333,1,96,utex2973,NA,"ino1,suhb,fba",0,2,1
isatf,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6598,0.005553067,40,0.333333333,1,120,utex2973,NA,"ino1,suhb,fba",0,2,1
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,1,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,16.4,0.341666667,16,48,utex2973,NA,"lims,gpps",na,2,0
IS_12-12,37,200,1,1-shakingflask,,1,250,na,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol ,e,6,12,0,6,-1130,na,na,44,0.366666667,1,120,utex2973,NA,"ino1,suhb",0,2,0
ISABeco,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.1768,0.007290503,na,0.368055556,1,24,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABeco,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.3299,0.007290503,na,0.368055556,1,48,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABeco,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.5,0.007290503,na,0.368055556,1,72,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABeco,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.6373,0.007290503,na,0.368055556,1,96,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABeco,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,2-DH_pntABeco,1,myo-inositol,e,6,12,0,6,-1130,0.8123,0.007290503,53,0.368055556,1,120,utex2973,NA,"ino1,suhb,pntab",0,2,1
isatp,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1895,0.005406689,na,0.395833333,1,24,utex2973,NA,"ino1,suhb,pfk",0,2,1
isatp,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.2872,0.005406689,na,0.395833333,1,48,utex2973,NA,"ino1,suhb,pfk",0,2,1
isatp,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4061,0.005406689,na,0.395833333,1,72,utex2973,NA,"ino1,suhb,pfk",0,2,1
isatp,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.5359,0.005406689,na,0.395833333,1,96,utex2973,NA,"ino1,suhb,pfk",0,2,1
isatp,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.6598,0.005406689,47.5,0.395833333,1,120,utex2973,NA,"ino1,suhb,pfk",0,2,1
IS-20-4,37,200,0.2,1-shakingflask,,1,250,na,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol ,e,6,12,0,6,-1130,na,na,48,0.4,1,120,utex2973,NA,"ino1,suhb",0,2,0
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.2102,0.006836628,na,0.444444444,1,24,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.3536,0.006836628,na,0.444444444,1,48,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.5176,0.006836628,na,0.444444444,1,72,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.6598,0.006836628,na,0.444444444,1,96,utex2973,NA,"ino1,suhb,pntab",0,2,1
ISABsyu,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.8123,0.006836628,64,0.444444444,1,120,utex2973,NA,"ino1,suhb,pntab",0,2,1
IS-16-8,37,200,0.5,1-shakingflask,,1,250,na,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol ,e,6,12,0,6,-1130,na,na,62.5,0.520833333,1,120,utex2973,NA,"ino1,suhb",0,2,0
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.0797,0.008142501,na,0.704166667,1,24,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.125,0.008142501,na,0.704166667,1,48,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.2102,0.008142501,na,0.704166667,1,72,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.3789,0.008142501,na,0.704166667,1,96,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.5743,0.008142501,84.5,0.704166667,1,120,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.6598,0.008142501,92,0.704166667,1,144,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
ISABsyuatPFY,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,3-postponedInduction,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,1-DH_pntABsyu,1,myo-inositol,e,6,12,0,6,-1130,0.7071,0.008142501,101,0.704166667,1,168,utex2973,NA,"ino1,suhb,pntab,pfk,fba,yead",0,2,4
jq01-MCR,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,3-xylose,6000,-1054.5,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,0.8,0.089583333,18,0.75,9,24,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,3-xylose,6000,-1054.5,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,2.6,0.089583333,20,0.75,9,48,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,3-xylose,6000,-1054.5,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,4.75,0.089583333,21,0.75,9,72,utex2973,NA,"xylEBA,mcr",na,2,0
,37,200,0,1-shakingflask,1-batch,1-open,100,20,0.15,na,247.1,5.43,0.5,0,0,0,0,7.5,3-xylose,6000,-1054.5,0,na,0,na,1-genomic,malonyl-CoA,1,na,na,0,3-hydroxypropionicAcid,e,3,6,0,3,-333.2,5.8,0.089583333,21,0.75,9,96,utex2973,NA,"xylEBA,mcr",na,2,0
